id,type,x,y,z,cluster
655061,3,19.4268,6.37928,-56.0049,0
655067,5,19.4796,8.49585,-57.6385,0
629018,3,22.7036,7.88135,-58.1806,0
654511,3,22.9445,6.38658,-56.2022,0
632263,2,21.2189,8.22258,-55.9559,0
633313,3,27.3077,-0.227276,-52.574,0
631515,3,28.9909,-0.484307,-54.4331,0
633398,1,30.8833,-0.342432,-52.707,1
374717,2,21.3111,2.653,-54.5204,0
634062,5,21.4073,0.876493,-52.7154,0
632099,3,23.3076,0.869539,-54.4696,0
632865,3,25.2238,0.995837,-52.7809,0
632793,3,25.0104,2.52947,-54.6492,0
632788,5,27.058,2.48443,-52.5383,0
630233,4,30.6095,1.23968,-54.5912,1
632025,2,28.4082,2.63895,-54.6655,0
633988,5,30.4381,2.78748,-52.6481,1
634418,4,21.5954,4.51986,-52.6599,0
630747,3,23.0995,4.57979,-54.4957,0
633457,2,23.0969,8.10162,-54.4015,0
631581,1,23.2357,6.33787,-52.6354,0
631349,1,25.0182,4.40367,-52.8461,0
632777,4,24.8956,8.20043,-52.7385,0
654593,5,21.266,9.91767,-54.0644,0
634135,2,23.177,12.0804,-53.8477,0
655627,2,21.2788,12.1129,-52.3094,0
633541,2,24.7453,10.1668,-54.3591,0
655623,3,25.1601,11.8729,-52.2274,0
632194,1,26.5702,9.82776,-52.7702,0
655076,4,28.7196,12.1007,-51.8268,0
630744,4,29.0684,-0.236967,-50.8764,0
634586,5,21.7099,2.72066,-50.9562,0
611902,3,23.4899,0.883403,-50.9076,0
632027,1,25.0903,2.76521,-50.935,0
631575,4,28.7268,2.96972,-50.6621,0
656818,3,23.4089,4.64658,-50.8804,0
632871,5,23.2203,6.41665,-49.1997,0
655710,4,21.4305,8.56884,-48.9143,0
631745,5,22.1756,8.51903,-52.0006,0
633383,4,25.334,6.30438,-51.0348,0
631939,2,24.8574,8.28106,-49.0318,0
656344,3,21.3177,10.3834,-50.6048,0
632951,4,23.0024,12.2314,-50.6562,0
632179,5,24.2035,9.89201,-51.0524,0
632326,4,25.0307,12.0068,-49.0011,0
656897,2,26.443,9.99166,-49.2467,0
655156,5,28.4668,9.83091,-51.1467,0
632945,5,28.2569,11.4338,-49.301,0
657306,2,26.932,13.7823,-51.894,0
656826,3,24.9849,14.1394,-50.5914,0
633547,5,27.3401,15.2383,-49.991,0
655063,5,25.6885,14.9312,-48.1831,0
632872,3,29.0483,13.6163,-49.9778,0
656273,3,27.9929,13.1589,-47.7197,0
