id,type,x,y,z,cluster
635931,3,11.6325,-6.13355,-41.3779,1
610693,2,13.3656,-4.36552,-41.4338,1
381114,2,9.13862,-1.70848,-41.656,2
613481,5,11.126,-3.40545,-41.587,1
633888,4,7.38826,0.40763,-41.4884,2
636744,3,9.21435,2.37731,-41.3878,3
660647,5,11.1537,0.787351,-41.6369,0
634348,2,14.3513,2.56283,-39.63,3
634268,5,18.3673,3.00661,-39.748,5
657932,4,16.3278,0.952564,-39.6167,5
358193,3,9.84515,-6.05552,-39.6483,0
635792,4,11.5845,-6.24294,-37.696,1
636894,5,13.2862,-6.10953,-39.6421,1
613653,3,13.3096,-4.49032,-37.6995,1
628933,5,7.69225,-1.35701,-39.5897,2
382580,1,9.39764,-3.41349,-39.7349,2
635865,4,10.8893,-1.25045,-39.9034,2
632527,3,11.1951,-3.15769,-37.8358,2
632543,4,9.45676,-1.53192,-37.7859,2
637124,3,12.901,-2.76979,-39.6732,1
636385,5,7.2833,2.26226,-39.6777,4
374518,5,7.56024,0.47415,-37.8401,2
632249,2,10.9228,2.49234,-39.6882,4
632695,5,10.9549,0.611069,-37.7359,2
635016,2,9.10541,2.46819,-37.8181,4
632616,2,10.9232,2.53754,-36.0914,4
633827,1,9.03638,4.18406,-36.033,4
634857,2,14.4162,1.03371,-37.7795,5
633310,1,14.5767,2.83027,-35.8068,5
635345,5,14.3899,4.55436,-37.8415,5
636145,2,18.1778,1.29824,-37.9284,5
635109,3,16.3493,1.12703,-36.1635,5
639372,1,18.0653,3.00868,-36.1035,5
657854,5,16.1539,4.37631,-39.658,3
636648,3,16.3129,4.72724,-36.1135,5
380600,3,10.8551,6.27425,-35.9638,6
636824,5,12.4048,4.45598,-35.868,6
634511,4,18.1071,4.74654,-37.856,5
635005,1,11.0427,2.50451,-32.2789,7
632605,4,9.1953,2.51373,-34.0211,7
657291,5,9.29658,4.26011,-32.2271,7
634725,2,12.7305,2.56608,-34.1434,7
659067,2,12.7221,4.45031,-32.3299,7
659611,5,8.93179,7.76101,-32.3241,7
384713,1,10.6633,8.15354,-34.1665,6
656184,5,8.99998,6.05645,-34.2632,6
634940,4,12.663,6.36705,-34.1746,6
399119,4,12.4965,8.20091,-32.2279,3
404153,3,10.8476,4.35287,-30.4476,7
636012,1,8.90955,6.06858,-30.434,7
407513,3,10.782,7.86917,-30.4076,7
634428,1,12.4866,6.21968,-30.3837,7
