id,type,x,y,z,cluster
660174,3,12.2142,8.04982,-24.8453,2
662337,4,10.4166,9.86158,-24.8052,2
660665,2,12.0523,11.7902,-24.921,2
636459,2,13.789,10.0225,-24.8343,2
639610,3,11.0392,-1.39911,-21.648,6
635336,3,7.3843,4.15363,-23.1076,3
642046,5,7.52614,2.0911,-21.3945,6
633963,3,9.13901,0.258386,-21.5964,6
637339,4,9.10242,2.14603,-23.3099,6
405833,5,10.7822,2.26038,-21.3335,5
385593,5,10.5212,4.08073,-23.0745,3
634846,5,12.7609,0.57434,-21.4975,5
636064,3,6.98941,5.9695,-21.5276,3
638773,3,8.80249,5.94031,-23.2232,3
659625,5,10.4728,7.92744,-23.1096,2
633210,3,10.4119,6.03488,-21.2345,3
638941,5,12.3235,8.1478,-21.3962,1
637661,5,14.104,8.16703,-23.182,2
660258,4,10.2823,11.7289,-23.1011,2
615328,5,10.281,9.90022,-21.3406,1
638251,5,12.0375,11.6398,-21.2345,2
405832,5,13.7117,11.6812,-23.1089,2
403579,5,14.0405,10.1654,-21.1236,2
641531,4,5.6656,-5.3375,-16.434,7
639721,5,7.54081,-5.21027,-18.1255,7
664565,3,9.54359,-5.21039,-16.1948,4
358746,5,1.89937,-1.62247,-16.0687,8
641094,5,3.87307,-1.64979,-17.8809,8
636968,1,3.8912,-3.40103,-16.1404,8
636458,5,5.87289,-3.26219,-17.8416,8
375398,1,7.50767,-1.45839,-17.9176,9
380709,2,9.15203,-1.40728,-19.7862,6
615885,5,9.25907,-3.16216,-17.7938,9
636384,3,9.27826,-1.1904,-16.1954,9
632344,3,10.9941,-1.26354,-17.8858,9
637731,3,12.798,-1.2447,-19.7604,5
382839,4,2.02173,0.135257,-17.8266,8
386592,4,1.86389,1.99814,-16.072,8
614695,1,3.70118,2.02222,-17.7376,8
639882,3,7.44855,0.335892,-19.6361,9
383197,2,7.16827,4.14121,-19.551,5
637261,3,5.70212,2.12922,-19.537,7
638096,1,5.63348,3.79023,-17.6326,10
632763,5,5.43892,0.166619,-17.7469,8
380265,3,7.45516,0.320723,-16.1685,9
634481,3,8.8862,4.00439,-17.6157,10
635686,4,9.14864,0.55679,-17.9255,9
641609,3,10.8388,2.27989,-17.8129,9
636371,5,9.17296,2.22549,-15.9553,9
354880,4,12.6041,2.55556,-19.6998,5
638168,3,12.7317,0.785925,-17.9994,5
635326,3,10.6762,4.26263,-19.4987,5
659144,3,8.71311,5.8703,-19.5948,5
637260,5,7.64905,-4.9309,-14.6635,0
636981,3,2.00017,0.259402,-14.3383,8
639968,5,3.75993,-1.67623,-14.3983,0
383701,3,5.85486,-1.41034,-12.7469,9
613575,4,5.74359,-3.38414,-14.5516,0
636989,4,7.80229,-1.46931,-14.3734,9
635011,1,9.4775,-3.22946,-14.4247,9
364274,3,3.59177,3.90745,-15.9178,7
639740,2,3.57269,2.23167,-14.2061,8
639006,2,3.77959,0.244315,-12.3781,0
387027,3,7.21556,4.05238,-15.7511,10
641708,5,7.42467,0.381238,-12.6062,4
634659,4,5.38644,4.12469,-14.0458,10
639980,3,5.44482,2.15891,-12.3087,0
636890,3,7.3426,2.27725,-14.0432,10
