id,type,x,y,z,cluster
383942,3,-7.30348,12.4535,-3.17373,1
411520,2,-5.25456,10.6664,-2.91962,1
640135,1,-7.56317,9.98222,-2.5686,1
638535,5,-0.0837191,5.62724,-6.87125,3
382987,4,-6.87581,7.39505,-8.76038,2
410870,1,-10.7387,11.0292,-8.76537,1
383359,3,-8.85376,9.06159,-8.70818,2
407197,3,-8.83208,12.7437,-8.56316,4
385400,3,-7.03151,10.7251,-8.42486,2
640573,4,-5.20407,9.25883,-8.78408,1
640581,2,-4.28886,3.89938,-4.68287,0
638461,5,-1.65958,3.86307,-6.84888,9
638604,4,-1.64217,1.81809,-5.07985,7
384186,1,-8.40332,7.6679,-6.58917,2
384029,5,-5.57049,7.47048,-6.73423,3
386589,4,-3.97192,5.497,-6.82014,3
380119,2,-2.01424,7.19699,-6.89353,3
638340,5,-3.55981,7.21698,-5.02897,3
386519,3,-0.840465,6.82851,-4.52961,3
638772,5,-10.6567,12.5644,-6.7234,1
382314,5,-9.07023,12.4828,-4.7178,4
385756,5,-10.3504,9.3634,-6.57773,2
641243,2,-5.35995,9.10883,-4.84982,3
389950,5,-7.63712,10.0347,-5.90759,4
663044,1,-5.46451,12.5842,-4.85115,4
664574,5,-7.31984,12.4427,-6.53203,4
382077,2,-1.51462,-0.205375,-3.69888,7
387111,5,-1.65522,0.0303858,-0.418248,6
387319,4,-1.63441,3.66567,-0.433665,5
631932,4,-3.33749,3.82185,-2.41617,5
380876,2,-1.48828,1.93827,-2.35189,7
386598,4,-3.53785,6.33575,-2.75146,3
384640,3,-1.05041,4.84965,-2.93471,9
379678,5,-1.65707,1.99246,1.33062,5
643327,4,0.0175018,3.69136,-5.02522,9
616368,2,0.315181,-0.0242621,-5.26947,7
381920,3,1.82203,1.98261,-5.1401,8
385746,4,0.221792,-0.0453274,-2.03935,7
639366,5,2.25922,0.0667952,-3.62098,8
637864,3,1.46923,3.97452,-3.05202,9
638775,5,1.34848,2.21092,-0.96671,5
641010,1,3.29684,2.22974,-2.84191,8
639212,5,0.680709,4.98885,-0.776714,5
617002,4,0.21751,0.0415394,1.27138,5
